Date,Time,System Utilization,Eligible/Idle Jobs,Active Jobs
2021/03/11,10:54,92.831,17/36,44
2021/03/11,11:04,90.244,16/33,42
2021/03/11,11:14,89.874,21/40,41
2021/03/11,11:24,99.557,22/43,42
2021/03/11,11:34,100.000,23/45,44
2021/03/11,11:44,100.000,24/45,44
2021/03/11,11:54,100.000,25/49,43
2021/03/11,12:04,100.000,23/45,43
2021/03/11,12:14,100.000,25/48,43
2021/03/11,12:24,99.926,21/46,46
2021/03/11,12:34,99.409,21/41,43
2021/03/11,12:44,99.261,21/42,44
2021/03/11,12:54,97.487,21/40,43
2021/03/11,13:04,97.487,23/44,43
2021/03/11,13:14,97.413,23/44,42
2021/03/11,13:24,97.413,23/44,42
2021/03/11,13:34,97.118,23/44,41
2021/03/11,13:44,97.118,31/60,41
2021/03/11,13:54,100.000,35/70,41
2021/03/11,14:04,100.000,37/73,41
2021/03/11,14:14,100.000,40/78,41
2021/03/11,14:24,99.704,39/80,42
2021/03/11,14:34,100.000,40/80,41
2021/03/11,14:44,100.000,42/82,41
2021/03/11,14:54,100.000,43/84,41
2021/03/11,15:04,100.000,44/86,41
2021/03/11,15:14,100.000,49/96,41
2021/03/11,15:24,100.000,49/99,41
2021/03/11,15:34,100.000,47/97,42
2021/03/11,15:44,100.000,48/98,40
2021/03/11,15:54,100.000,51/101,40
2021/03/11,16:04,100.000,51/102,40
2021/03/11,16:14,100.000,51/101,40
2021/03/11,16:24,100.000,53/106,40
2021/03/11,16:34,100.000,56/112,40
2021/03/11,16:44,100.000,57/112,40
2021/03/11,16:54,99.926,55/114,41
2021/03/11,17:04,100.000,58/117,42
2021/03/11,17:14,100.000,60/120,42
2021/03/11,17:24,100.000,63/126,42
2021/03/11,17:34,100.000,71/143,42
2021/03/11,17:44,99.778,66/139,47
2021/03/11,17:54,100.000,60/121,47
2021/03/11,18:04,97.339,65/135,48
2021/03/11,18:14,100.000,49/101,51
2021/03/11,18:24,100.000,51/100,51
2021/03/11,18:34,100.000,64/130,53
2021/03/11,18:44,100.000,46/97,58
2021/03/11,18:54,99.704,39/84,59
2021/03/11,19:04,99.778,47/98,58
2021/03/11,19:14,100.000,44/89,56
2021/03/11,19:24,100.000,43/85,54
2021/03/11,19:34,97.413,32/73,63
2021/03/11,19:44,99.778,26/57,62
2021/03/11,19:54,99.187,20/41,63
2021/03/11,20:04,98.891,20/40,61
2021/03/11,20:14,99.113,17/35,60
2021/03/11,20:24,96.822,16/30,58
2021/03/11,20:34,96.822,15/28,58
2021/03/11,20:44,96.896,15/29,59
2021/03/11,20:54,99.409,12/23,59
2021/03/11,21:04,99.409,10/18,59
2021/03/11,21:14,99.335,8/18,59
2021/03/11,21:24,99.335,6/13,59
2021/03/11,21:34,99.335,7/14,59
2021/03/11,21:44,98.965,3/12,62
2021/03/11,21:54,98.965,2/6,62
2021/03/11,22:04,99.557,2/7,62
2021/03/11,22:14,99.852,2/10,65
2021/03/11,22:24,95.344,1/8,67
2021/03/11,22:34,95.713,1/2,67
2021/03/11,22:44,95.713,3/4,67
2021/03/11,22:54,95.713,3/3,67
2021/03/11,23:04,92.166,3/3,65
2021/03/11,23:14,92.979,3/4,65
2021/03/11,23:24,90.687,3/3,63
2021/03/11,23:34,83.149,3/3,61
2021/03/11,23:44,87.879,3/5,63
2021/03/11,23:54,87.066,3/4,60
2021/03/12,00:04,87.731,3/5,62
2021/03/12,00:14,87.214,3/3,61
2021/03/12,00:24,87.214,3/3,61
2021/03/12,00:34,87.066,3/3,60
2021/03/12,00:44,87.066,3/3,60
2021/03/12,00:54,88.470,4/7,62
2021/03/12,01:04,89.653,3/5,63
2021/03/12,01:14,92.018,3/5,65
2021/03/12,01:24,90.835,5/9,65
2021/03/12,01:34,98.448,5/10,67
2021/03/12,01:44,96.970,5/5,66
2021/03/12,01:54,96.526,5/6,66
2021/03/12,02:04,95.048,5/5,65
2021/03/12,02:14,94.752,4/5,64
2021/03/12,02:24,94.678,4/4,63
2021/03/12,02:34,94.678,4/4,63
2021/03/12,02:44,94.678,4/4,63
2021/03/12,02:54,94.678,4/4,63
2021/03/12,03:04,94.383,4/4,62
2021/03/12,03:14,94.383,4/4,62
2021/03/12,03:24,94.383,4/4,62
2021/03/12,03:34,94.235,4/4,61
2021/03/12,03:44,94.383,4/5,62
2021/03/12,03:54,94.235,4/4,60
2021/03/12,04:04,94.383,4/5,61
2021/03/12,04:14,94.383,5/5,61
2021/03/12,04:24,94.383,5/5,61
2021/03/12,04:34,94.383,5/5,61
2021/03/12,04:44,94.826,4/5,61
2021/03/12,04:54,94.826,4/4,61
2021/03/12,05:04,94.457,4/4,60
2021/03/12,05:14,94.457,3/4,60
2021/03/12,05:24,94.457,3/3,60
2021/03/12,05:34,94.457,3/3,60
2021/03/12,05:44,94.457,3/3,60
2021/03/12,05:54,94.457,3/3,60
2021/03/12,06:04,95.565,3/4,61
2021/03/12,06:14,96.157,3/5,60
2021/03/12,06:24,97.265,3/4,61
2021/03/12,06:34,96.157,3/3,60
2021/03/12,06:44,94.900,3/4,58
2021/03/12,06:54,93.792,3/3,57
2021/03/12,07:04,94.900,3/4,58
2021/03/12,07:14,93.718,3/3,56
2021/03/12,07:24,93.718,3/3,56
